DefaultBlockName,RiserBlockName,PTPBlockName,BlockOrientation,Manufacturer,ProductLine,Category,SubCategory1,SubCategory2,SubCategory3,PartType,IsPassThrough,PartNo,Model,Description,AddressQuantity,ReqdStandbyCurrent,ReqdAlarmCurrent,AddlCurrent,AddlWatts,NominalVoltage,MinVoltage,AddCardCurrentToBatteryCalc,IsCeilingMount,Mounting,Box,Size,Trim,DefaultColor,DefaultLayer,DefaultScale,ExcludeFromReport,ExcludeFromRiser,ExcludeFromLegend,ReportSequence,Approvals,Chicago,CSFM,FM,UL,ULC,NYCBSA,NYCMEA,CardBatteryChargingCapacities,CardBatteryQuantity,AssemblyBatterySizeList,AssemblyTotalAvailableCurrent,AssemblyTotalAvailableWatts,GenerateBatteryCalculation,HoleQty,ListPrice,CustomProperties,PDFFilePath,DetailDrawingPath,manufacturer_normalized
NFPA 170 EMERGENCY TEXTUAL VISUAL,NFPA 170 EMERGENCY TEXTUAL VISUAL,,North,Adaptive Micro Systems,,Emergency Visual,,,,Module,True,ALPHA 4080 MNS,+,Emergency Notification System,1.0,0.55,0.55,,,,,0.0,,,,,,#FFFF0000,FA-NFPA 170 EMERGENCY TEXTUAL VISUAL,1.0,False,False,0.0,255.0,,,,,,,,,,,,,,0.0,,,,,,Adaptive Micro Systems
NFPA 170 EMERGENCY TEXTUAL VISUAL,NFPA 170 EMERGENCY TEXTUAL VISUAL,,North,Adaptive Micro Systems,,Emergency Visual,,,,Module,True,ALPHA 4120 MNS,+,Emergency Notification System,1.0,0.6,0.6,,,,,0.0,,,,,,#FFFF0000,FA-NFPA 170 EMERGENCY TEXTUAL VISUAL,1.0,False,False,0.0,255.0,,,,,,,,,,,,,,0.0,,,,,,Adaptive Micro Systems
NFPA 170 MASS NOTIFICATION SYSTEM INTERFACE,NFPA 170 MASS NOTIFICATION SYSTEM INTERFACE,,North,Adaptive Micro Systems,,Mass Notificacation Interface,,,,Module,True,ALPHA CALLISTO,+,Adaptive Discrete Input Interface,1.0,0.0,0.0,,,,,0.0,,,,,,#FFFF0000,FA-NFPA 170 MASS NOTIFICATION SYSTEM INTERFACE,1.0,False,False,0.0,255.0,,,,,,,,,,,,,,0.0,,,,,,Adaptive Micro Systems
NFPA 170 EMERGENCY TEXTUAL VISUAL,NFPA 170 EMERGENCY TEXTUAL VISUAL,,North,Adaptive Micro Systems,,Emergency Visual,,,,Module,True,ALPHA 4160 MNS,+,Emergency Notification System,1.0,0.65,0.65,,,,,0.0,,,,,,#FFFF0000,FA-NFPA 170 EMERGENCY TEXTUAL VISUAL,1.0,False,False,0.0,255.0,,,,,,,,,,,,,,0.0,,,,,,Adaptive Micro Systems
NFPA 170 ADDRESSABLE OUTPUT MODULE,,,North,Ademco,,Addressable Control/Relay,,,,Module,True,4204,+,Relay Module,1.0,0.015,0.04,,,,,0.0,,,,,,#FFFF0000,FA-NFPA 170 ADDRESSABLE OUTPUT MODULE,1.0,False,False,0.0,1100.0,,,,,,,,,,,,,,0.0,,,,,,Ademco
NFPA 170 ADDRESSABLE OUTPUT MODULE,,,North,Ademco,,Addressable Control/Relay,,,,Module,True,4204CF,+,Supervised Notification Applicance Module,1.0,0.025,0.105,,,,,0.0,,,,,,#FFFF0000,FA-NFPA 170 ADDRESSABLE OUTPUT MODULE,1.0,False,False,0.0,1100.0,,,,,,,,,,,,,,0.0,,,,,,Ademco
E12,,,East,Ademco,,Notification Appliance,,,,Module,True,Wave2,++,Indoor Electronic Siren,1.0,,,,,,,0.0,,,,3.25”W x 4.25”H x 2.0”D,,#FFFF0000,FA-E12,1.0,False,False,0.0,2010.0,,,,,,,,,,,,,,0.0,,,,,,Ademco
E12,,,East,Ademco,,Notification Appliance,,,,Module,True,Wave4,++,Indoor Electronic Siren,1.0,,,,,,,0.0,,,,3.25”W x 4.50”H x 2.0”D,,#FFFF0000,FA-E12,1.0,False,False,0.0,2010.0,,,,,,,,,,,,,,0.0,,,,,,Ademco
E12,,,East,Ademco,,Notification Appliance,,,,Module,True,Wave2F,++,Indoor Electronic Siren,1.0,,,,,,,0.0,,,,4.4”W x 4.4”H x .750”D,,#FFFF0000,FA-E12,1.0,False,False,0.0,2010.0,,,,,,,,,,,,,,0.0,,,,,,Ademco
GenericN GLASS BREAK,,,North,ADI,,Glass Break Detector,,,,Module,True,CK-FG730,100088357,"GLASS-BREAK DETECTOR, 30' RANGE, HW",1.0,0.025,0.025,,,,,1.0,,,,,,#FFFF0000,FA-GenericN GLASS BREAK,1.0,False,False,0.0,,,,,,,,,,,,,,,,,,,,,ADI
