manufacturer,type,name,part_number,qty
ADI,Glass Break Detector,"GLASS-BREAK DETECTOR, 30' RANGE, HW",100088357,1
ADI,Hardware,"BATTERY, 12 VOLT 18 AH W/NUT AND BOLT TERMINALS",100548049,1
ADI,Hardware,"BATTERY, 12 VOLT, 7 AH",100088474,1
ADI,Miscellaneous,ENCLOSURE FIRE ALARM DOCUMENTS,100601900,1
ADI,Surge Supressor,SURGE SUPPRESSOR. TELEPHONE LINE,100088295,1
ADT Unimode,Cards & Components,80-Character LCD Annunciator Card,F,1
ADT Unimode,Cards & Components,Fire Alarm Control Panel Main CPU,+,1
ADT Unimode,Cards & Components,Intelligent Addressable FACP Main Board,++,1
ADT Unimode,Cards & Components,"The MPS-400 supplies a total of 6 A in alarm, used for the following:  (a) powering AFP-300/400 modules; (b) powering a variety of UL-listed 24 VDC notification appliances (refer to the Device Compatibility Document); and (c) providing up to 1.25 A of resettable power for four-wire smoke detectors.  The MPS-400 contains an integral battery charger, four NAC/Releasing circuits, and four relay outputs (Alarm, Trouble, Supervisory, and Securit",+,1
ADT Unimode,Fire Alarm Control Unit,"A package that includes a CPU-400, an MPS-400PCA, a transformer assembly, and a two-position CPU-400 ribbon cable. Order cabinet separately.",+,1
ADT Unimode,Fire Alarm Control Unit,Intelligent Addressable FACP with Built-In Communicator,++,1
ADT Unimode,Manual Station,"Manual Pull Station, Addressable",F,1
ADT Unimode,Remote Annunciator,80-Character LCD Annunciator,F,1
ADT Unimode,Remote Annunciator,"Annunciator, Terminal mode. 80-character, backlit LCD display",+,1
AES,Cards & Components,7706-ULF Main Board,+,1
AES,Cards & Components,AES-IntelliPro Fire Full Data Module. UL listed for supplemental communication with fire radios.,++,1
AES,Cards & Components,Main Board,++,1
AES,Communicator,".IntelliNet 2.0 Fire Subscriber, 4x4 Zone (4 Reversing Polarity, 4 Supervised) with 7794A AES-IntelliPro, and integrated onboard Local Annunciator plus MCT, Red Enclosure",+,1
AES,Communicator,"8 Zone Fire Subscriber, 8 Supervised Zones, Red Enclosure. w/7794 Module",++,1
AES,Communicator,"IntelliNet 2.0 Fire Subscriber, 4x4 Zone (4 Reversing Polarity, 4 Supervised) with Multiple Communication Technologies (MCT), Red Enclosureunciator plus MCT, Red Enclosure",+,1
AES,Communicator,"IntelliNet 2.0 Fire Subscriber, 8 Zone with 7794A AES-IntelliPro, and integrated onboard Local Annunciator plus MCT, Red Enclosure",+,1
AES,Communicator,"IntelliNet 2.0 Fire Subscriber, 8 Zone with Multiple Communication Technologies (MCT), Red Enclosure",+,1
AES,Fire Alarm Control Unit,7706-ULF Integrated Fire Monitoring System,+,1
AES,Transformer,"Plug in AC Transformer,
16.5V / 20VA",1640,1
ALARM CONTROLS CORPORATION,UNKNOWN,1200LB MAGNETIC DOOR HOLDER WITH LED AND DOOR STATUS SENSOR,1200LB,1
ALARM CONTROLS CORPORATION,UNKNOWN,600LB MAGNETIC DOOR HOLDER WITH LED AND DOOR STATUS SENSOR,600LB,1
ALARM CONTROLS CORPORATION,UNKNOWN,GLASS DOOR ARMATURE HOLDER,GDH,1
ASCO,Solenoid,"Normally Closed 3/4"" Brass Body Solenoid",++,1
ASSA ABLOY,Door Holder,7200 Series Norton Closers,7200,1
ASSA ABLOY,Electric Strike,Electric Strike,++,2
ASSA ABLOY,Electric Strike,Surface Mounted Electric Strike,++,2
ASSA ABLOY,Magnetic Lock,Magnetic Lock,++,5
Adaptive Micro Systems,Emergency Visual,Emergency Notification System,+,3
Adaptive Micro Systems,Mass Notificacation Interface,Adaptive Discrete Input Interface,+,1
Ademco,Addressable Control/Relay,Relay Module,+,1
Ademco,Addressable Control/Relay,Supervised Notification Applicance Module,+,1
Ademco,Notification Appliance,Indoor Electronic Siren,++,3
Advanced,Addressable Control/Relay,INTELLIGENT RELAY,++,1
Advanced,Addressable Module,Mini Priority Switch Monitor,+,1
Advanced,Addressable Module,Mini Switch Monitor,+,1
Advanced,Addressable Module,Priority Switch Monitor,+,1
Advanced,Addressable Module,Switch Monitor,+,1
Advanced,Addressable Module,Switch Monitor Input/Output Module,+,1
Advanced,Amplifier Cabinet,AUDIO BOOSTER PANEL,++,1
Advanced,Cards & Components,10 Amp 6B/3A NAC Power Extender,AX-PSN106 Main Board,1
Advanced,Cards & Components,10 Amp 8B/4A NAC Power Extender,AX-PSN108 Main Board,1
Advanced,Cards & Components,"2 SLC, 2 NAC EXPANDER CARD",++,1
Advanced,Cards & Components,6A Conventional Power Supply with 4 Outputs,AX-PSN-64 Main Board,1
Advanced,Cards & Components,AUDIO SPLITTER,++,1
Advanced,Cards & Components,AV-AMP-80,AV-AMP-80,1
Advanced,Cards & Components,AV-VB MAIN CARD,++,1
Advanced,Cards & Components,DACT SERIAL INTERFACE MODULE,ACX,1
Advanced,Cards & Components,Digital Alarm Communicator Transmitter,D9068P,1
Advanced,Cards & Components,Main Board,++,2
Advanced,Cards & Components,Main Board for AS-ANN Annunciators,AX-ANN-C Main Board,1
Advanced,Cards & Components,Main Board for AX-CTL-1 Series Control Panels,AX-CTL-1 Base Card,1
Advanced,Cards & Components,Main Board for AX-CTL-2 Series Control Panels,AX-CTL-2  Base Card,1
Advanced,Cards & Components,Main Board for AX-CTL-4 Series Control Panels,AX-CTL-4 Base Card,1
Advanced,Cards & Components,Main Board for AXPSN104,AX-PSN104 Main Board,1
Advanced,Cards & Components,Style 4 Network Module,AX-NET4,1
Advanced,Cards & Components,Style 7 Network Module,AX-NET7,1
Advanced,Duct Smoke Detector,INTELLIGENT DUCT DETECTOR PHOTOELECTRIC 2 WIRE,++,1
Advanced,Fire Alarm Control Unit,Fire Alarm Control Panel  4 loop with 4 NAC ckts,AX-CTL-4,1
Advanced,Fire Alarm Control Unit,Fire Alarm Control Panel  4 loop with 4 NAC ckts with 80 WATT AMP,AX-CTL-4V,1
Advanced,Fire Alarm Control Unit,Fire Alarm Control Panel 1 loop with 2 NAC ckts small cabinet,AX-CTL-1C,1
Advanced,Fire Alarm Control Unit,Fire Alarm Control Panel 1 loop with 2 NAC ckts small cabinet grey (obsolete),AX-CTL-1CG,1
Advanced,Fire Alarm Control Unit,Fire Alarm Control Panel 1 loop with 2 NAC ckts with 80 watt amp,AX-CTL-1V,1
Advanced,Fire Alarm Control Unit,Fire Alarm Control Panel 2 loop  with 2 NAC ckts with 80 watt amp,AX-CTL-2V,1
Advanced,Fire Alarm Control Unit,Fire Alarm Control Panel 2 loop with 2 NAC ckts,AX-CTL-2,1
Advanced,Fire Alarm Control Unit,Multi Loop Panel in Large Deep Enclosure,++,2
Advanced,Fire Alarm Control Unit,Multi Loop Panel in Large Enclosure,++,2
Advanced,Fire Alarm Control Unit,Multi Loop Panel in Standard Sized Enclosure,++,2
Advanced,Hardware,2 Position Key Switch Assembly - Trapped,++,1
Advanced,Hardware,2 Position Key Switch Assembly - Un-Trapped,++,1
Advanced,Hardware,2 Position key switch - Momentary contact,++,1
Advanced,Hardware,3-position Key Switch - Trapped (requires 2 inputs),++,1
Advanced,Hardware,Access Enable Key Switch,++,1
Advanced,Hardware,Access enable key switch for Mx-5010/5020/5030,++,1
Advanced,Hardware,Intelligent Manual Pull Station Deep Interior Backbox,AX-APS-BB1-D,1
Advanced,Hardware,Intelligent Manual Pull Station Interior Backbox,AX-APS-BB1,1
Advanced,Heat Detector,Intelligent Heat Detector w/Base,++,1
Advanced,Notification Circuit Extender Panel,10 Amp 4B/2A NAC Power Extender,AX-PSN104,1
Advanced,Notification Circuit Extender Panel,10 Amp 8B/4A NAC Power Extender,AX-PSN106,1
Advanced,Notification Circuit Extender Panel,10 Amp 8B/4A NAC Power Extender,AX-PSN108,1
Advanced,Notification Circuit Extender Panel,6A Conventional Power Supply with 4 Outputs,AX-PSN-64,1
Advanced,Remote Annunciator,Remote Graphical LCD Annunciator With Control,AX-ANN-C,1
Advanced,UNKNOWN,"Intelligent Manual Pull Station, Dual Action",AX-APS2-F2,1
Advanced,UNKNOWN,"Intelligent Manual Pull Station, Single Action",AX-APS2-F1,1
Aiphone,Data Telecom,Intercom Master,LEF-10,1
Aiphone,Data Telecom,Intercom Master,LEF-10 S,1
Aiphone,Data Telecom,Intercom Master,LEF-3,1
Aiphone,Data Telecom,Intercom Master,LEF-5,1
Aiphone,Data Telecom,Intercom Sub Station,LE-A,1
Aiphone,Data Telecom,Intercom Sub Station,LE-AN,1
Aiphone,Data Telecom,Intercom Sub Station,LE-D,1
Aiphone,Data Telecom,Intercom Sub Station,LE-DA,1
Aiphone,Data Telecom,Intercom Sub Station,LE-DL,1
Aiphone,Miscellaneous,Intercom  Power Supply,PS-1208,1
Aiphone,Miscellaneous,Intercom  Power Supply,PS-1208BF,1
Aiphone,Miscellaneous,Intercom  Power Supply,PS-1208S,1
Aiphone,Miscellaneous,Intercom  Power Supply,PS-1208UL,1
Aiphone,Miscellaneous,Intercom  Power Supply,PS-1225DM,1
Air Products,End-of-Line Device,End of Line Supervision Relay,+,1
Air Products,Non-Addressable Relay,DPDT MULTI-VOLTAGE CONTROL RELAY,+,1
Air Products,Non-Addressable Relay,MULTI-VOLTAGE CONTROL RELAY,+,1
Air Products,Non-Addressable Relay,SPDT MULTI-VOLTAGE CONTROL RELAY,+,1
Alarm Controls,Magnetic Lock,Magnetic lock with indicating LED,++,1
Alarm Controls,Magnetic Lock,Standard magnetic lock,++,1
Alpha Communications,Area of Refuge Component,Refuge Call Box (AlphaRefuge™ 2100 Series),+,2
Alpha Communications,Area of Refuge Component,Refuge Call Centers (AlphaRefuge™ 2100 Series),+,2
Alpha Communications,Auxilliary Power Supply,24VDC Power Supply (AlphaRefuge™ 2100 Series),+,1
Alpha Communications,Cards & Components,Main Board,+,3
Altronix,Auxilliary Power Supply,"2.5-Amp, 24-Volt Power Supply, Red",+,1
Altronix,Auxilliary Power Supply,"Access Power Distribution Module w/ Power Supply/Charger, 5 PTC Class 2 Outputs, 24VDC @ 10A, FAI, 115VAC, BC400 Enclosure",AL1024ULM,1
Altronix,Auxilliary Power Supply,Altronic Power Limited Power Supply/Charger,+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, 1 Output, 12/24VDC @ 10A, 115VAC",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, 16 Fused Outputs, 12/24VDC, 6A, 115VAC",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, 16 Output, 12/24VDC @ 10A, 115VAC",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, 8 Fused Outputs, 12/24VDC, 4A, 115VAC",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, 8 Output, 12/24VDC @ 10A, 115VAC",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, Single Class 2 Output, 12/24VDC @ 10A, 115VAC",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, Single Class 2 Output, 12/24VDC @ 10A, 115VAC, Red",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, Single Class 2 Output, 12/24VDC @ 6A, 115VAC, Red BC300 Enclosure",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, Single Class 2 Output, 4A@12VDC, 3A@24VDC, 115VAC. Red",+,2
Altronix,Auxilliary Power Supply,"Power Supply Charger, Single Class 2 Output, 6/12VDC @ 2.5A, 115VAC",+,1
Altronix,Auxilliary Power Supply,"Power Supply Charger, Two (2) 12VDC or 24VDC Class 2 Rated Power-Limited Outputs",++,2
Altronix,Cards & Components,+,+,2
Altronix,Cards & Components,Fire Alarm Power Supply Main Board,+,15
Altronix,Cards & Components,Fire Alarm Power Supply Main Board,++,3
Altronix,Cards & Components,MAIN CARD,AL1024ULM MAIN CARD,1
Altronix,Cards & Components,Main Board,++,1
Altronix,Cards & Components,UL Listed Power Distribution Module,+,1
Altronix,Non-Addressable Relay,Multi-Purpose Timer,++,1
Altronix,Non-Addressable Relay,SPDT Relay /w LED & Metal Enclosure,RB1224,1
Altronix,Notification Circuit Extender Panel,"10 Amp, 8 Output  24 Volt Power Supply",+,2
Altronix,Notification Circuit Extender Panel,"10-Amp, 24-Volt Power Supply",+,1
Altronix,Notification Circuit Extender Panel,"10-Amp, 24-Volt Power Supply",++,2
Altronix,Notification Circuit Extender Panel,"2.5-Amp, 24-Volt Power Supply, Grey",+,1
Altronix,Notification Circuit Extender Panel,"6-Amp, 24-Volt Power Supply",+,2
Altronix,Notification Circuit Extender Panel,"8-Amp, 24-Volt Power Supply",+,1
Altronix,Notification Circuit Extender Panel,"8-Amp, 24-Volt Power Supply",++,1
Alula,Cellular Communicator,"BAT-Fire, Verizon",++,1
Ampac,Fire Alarm Control Unit,FireFinderPLUS 1 Loop 5A - SP8X  Cabinet,8651-0113,1
Ampac,Fire Alarm Control Unit,FireFinderPLUS 1 Loop OWS50 5A - SP1 Cabinet,8651-0110-1200,1
Ampac,Fire Alarm Control Unit,FireFinderPLUS 1Loop 5A - SP1X Cabinet,8651-0110,1
Ampac,Fire Alarm Control Unit,FireFinderPLUS 1Loop OWS25 5A - SP1 Cabinet,8651-0110-1100,1
Ampac,Fire Alarm Control Unit,FireFinderPLUS 5 Loop 5A - SP8X   Cabinet,8651-0513,1
Ampac,Fire Alarm Control Unit,Rack Cabinet 10U,10U – Rack Cabinet Only,1
Ampac,Fire Alarm Control Unit,Rack Cabinet 16U,16U – Rack Cabinet Only,1
